LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12-2_3;131700.373;549630.244;3.491;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131737.121;549580.308;2.842;-1;-1;-1;-1;-1;-1;131739.788;549576.684;3.429;131739.788;549576.684;3.429;131741.269;549574.671;3.501;131744.234;549570.643;3.42;131745.995;549568.249;2.88;131748.366;549565.028;2.781;131754.59;549556.571;0.973;-1;-1;-1;-1;-1;-1;131803.489;549490.125;-1.42
12-2_4;131679.237;549612.261;3.265;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131723.004;549557.631;3.019;-1;-1;-1;-1;-1;-1;131725.192;549554.899;3.417;131725.817;549554.119;3.441;131727.38;549552.169;2.828;131726.047;549553.832;3.37;131728.236;549551.1;2.697;131730.424;549548.369;2.37;131738.865;549537.833;0.546;-1;-1;-1;-1;-1;-1;131788.259;549476.179;-1.6
12-2_5;131663.649;549595.574;3.381;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131704.055;549541.503;2.922;-1;-1;-1;-1;-1;-1;131705.252;549539.901;3.509;131705.252;549539.901;3.509;131706.749;549537.899;3.048;131705.851;549539.1;3.484;131707.347;549537.098;2.819;131710.939;549532.291;2.226;131716.027;549525.483;0.245;-1;-1;-1;-1;-1;-1;131765.711;549458.996;-1.52
12-2_6;131640.042;549582.018;3.459;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131683.765;549526.714;2.873;-1;-1;-1;-1;-1;-1;131685.315;549524.753;3.479;131685.315;549524.753;3.479;131686.866;549522.792;3.306;131686.246;549523.576;3.52;131688.106;549521.223;2.903;131690.897;549517.693;2.249;131695.238;549512.202;0.239;-1;-1;-1;-1;-1;-1;131747.955;549445.523;-1.01
12-2_7;131622.125;549568.085;3.931;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131664.417;549511.055;2.8;-1;-1;-1;-1;-1;-1;131665.906;549509.047;3.412;131665.906;549509.047;3.412;131667.396;549507.039;3.255;131666.8;549507.843;3.35;131668.587;549505.433;2.735;131670.374;549503.023;2.399;131674.544;549497.4;0.269;-1;-1;-1;-1;-1;-1;131725.771;549428.322;-0.96
12-2_8;131601.198;549552.134;5.324;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131644.184;549496.255;2.695;-1;-1;-1;-1;-1;-1;131645.709;549494.274;3.395;131645.709;549494.274;3.395;131647.233;549492.292;3.26;131646.928;549492.689;3.384;131649.062;549489.915;2.264;131651.196;549487.14;2.223;131654.55;549482.781;0.537;-1;-1;-1;-1;-1;-1;131663.791;549470.768;-0.01
12-2_9;131581.53;549536.913;5.556;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131624.115;549481.356;2.439;-1;-1;-1;-1;-1;-1;131625.636;549479.372;3.239;131625.636;549479.372;3.239;131627.156;549477.388;3.266;131628.373;549475.801;3.186;-1;-1;-1;-1;-1;-1;131634.761;549467.467;0.545;-1;-1;-1;-1;-1;-1;131643.313;549456.309;0.03
12-2_10;131562.731;549520.134;5.704;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131604.23;549466.265;2.373;-1;-1;-1;-1;-1;-1;131606.061;549463.889;3.437;131606.061;549463.889;3.437;131607.586;549461.909;3.287;131607.892;549461.512;3.287;-1;-1;-1;-1;-1;-1;131612.774;549455.174;0.884;-1;-1;-1;-1;-1;-1;131624.099;549440.475;0.09
12-2_11;131541.772;549506.481;5.946;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131583.834;549451.784;2.324;-1;-1;-1;-1;-1;-1;131586.272;549448.613;3.518;131586.272;549448.613;3.518;131587.796;549446.631;3.425;131587.492;549447.027;3.489;-1;-1;-1;-1;-1;-1;131593.283;549439.497;1.025;-1;-1;-1;-1;-1;-1;131602.848;549427.058;0.25
12-2_12;131520.448;549488.7;5.916;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131564.833;549435.219;2.292;-1;-1;-1;-1;-1;-1;131566.749;549432.91;3.442;131566.749;549432.91;3.442;131568.345;549430.986;3.351;131568.345;549430.986;3.351;-1;-1;-1;-1;-1;-1;131576.647;549420.982;0.461;-1;-1;-1;-1;-1;-1;131585.322;549410.53;0.31
